600	600	600	600	600	600	599.99	599.97	599.94	599.85	599.69	598.36	595.23	589.54	581.27	571.75	563.06	556.76	553.08	551.28	550.79	550.47	550.16	549.86	549.56	549.27	548.98	547.44	544.15	538.25	529.8	520.25	511.8	505.89	502.59	501.05	500.75	500.47	500.21	499.98	499.76	499.56	499.37	499.19	498.91	498.49	497.86	496.17	492.94	487.64	480.26	471.81	463.97	458.13	454.53	452.61	451.88	451.39	450.91	450.43	449.94	449.43	448.9	448.34	447.74	446.03	442.79	437.28	429.54	420.83	413.03	407.4	403.99	402.1	401.32	400.61	399.99	399.46	398.99	398.57	398.16	397.75	397.34	396.93	396.52	395.03	392.03	386.78	379.32	370.92	363.46	358.21	355.2	353.71	353.3	352.89	352.48	352.06	351.65	351.24	350.84	350.44	350.04	349.65	349.27	348.89	348.51	348.13	347.75	347.37	346.99	346.6	346.22	344.76	341.79	336.56	329.14	320.77	313.34	308.12	305.14	303.68	303.3	302.91	302.53	302.15	301.76	301.38	301	300.62	300.46	300.59	301.13	302.03	302.98	303.62	303.71	303.28	302.5	301.5	300.51	299.51	298.52	297.53	295.71	292.73	288.02	281.62	274.51	268.14	263.49	260.59	258.9	258.09	257.32	256.61	255.92	255.27	254.63	254.01	253.4	252.81	252.22	251.65	251.07	250.49	249.91	249.33	248.74	248.16	247.59	247.01	246.44	245.88	245.31	244.74	244.18	243.61	242.21	239.65	235.35	229.36	222.65	216.65	212.35	209.79	208.38	207.81	207.24	206.67	206.09	205.52	204.94	204.37	203.79	203.22	202.65	202.08	201.52	200.91	200.2	198.92	196.85	193.71	189.64	185.27	181.54	179.08	178.44	179.45	182.14	185.92	190.19	194.13	197.2	199.36	200.9	201.97	203.02	204.06	205.08	206.94	209.95	214.7	221.14	228.3	234.74	239.48	242.49	244.34	245.35	246.39	247.51	248.79	251.17	255.06	261.03	268.97	277.81	285.95	292.29	296.69	299.66	301.52	303.14	305.44	308.82	313.92	320.71	328.23	335.03	340.15	343.55	345.84	347.41	349.16	352	356.28	362.55	370.7	379.7	388.07	395.66	402.77	410.56	419.31	428.85	437.73	445.78	453.29	461.39	470.41	481.09	492.41	504.04	515.94	528.49	540.77	553.09	565.29	576.94	587.75	597.94	608.06	618.68	630.04	641.9	653.89	665.89	677.4	687.17	695.75	703.35	711.14	719.5	728.37	736.32	742.31	746.19	748.41	749.28	749.75	749.94	750	750	750	750	750	750
600	600	600	600	600.01	600.01	600	599.96	599.86	599.62	599.22	597.79	594.73	589.45	581.92	573.22	565.1	558.96	555.11	552.94	551.96	551.23	550.5	549.8	549.1	548.43	547.76	546.01	542.75	537.23	529.51	520.84	513.11	507.58	504.29	502.52	501.83	501.18	500.56	500.01	499.52	499.07	498.63	498.2	497.64	496.87	495.79	493.84	490.63	485.92	479.68	472.62	465.95	460.76	457.3	455.19	454.03	453.15	452.27	451.39	450.5	449.57	448.58	447.53	446.41	444.39	441.15	436.14	429.4	421.88	415.03	409.82	406.31	403.97	402.52	401.2	400.06	399.08	398.23	397.45	396.7	395.97	395.22	394.48	393.73	392.16	389.41	384.94	378.76	371.87	365.69	361.21	358.47	356.89	356.13	355.38	354.63	353.88	353.13	352.38	351.64	350.91	350.19	349.48	348.78	348.08	347.39	346.69	345.99	345.3	344.6	343.9	343.2	341.67	338.98	334.55	328.43	321.59	315.46	311.04	308.34	306.81	306.11	305.41	304.71	304	303.3	302.59	301.89	301.19	300.76	300.66	301.04	301.83	302.7	303.21	303.1	302.4	301.31	299.97	298.63	297.29	295.95	294.61	292.73	290.08	286.29	281.39	276.02	271.14	267.41	264.86	263.12	261.98	260.9	259.87	258.88	257.92	256.98	256.06	255.15	254.26	253.38	252.51	251.64	250.76	249.86	248.96	248.06	247.16	246.27	245.39	244.51	243.64	242.77	241.9	241.03	240.17	238.75	236.57	233.23	228.78	223.85	219.39	216.06	213.86	212.44	211.56	210.68	209.8	208.92	208.04	207.16	206.28	205.39	204.51	203.65	202.79	201.94	201.02	199.95	198.36	196.1	193	189.24	185.38	182.15	180.11	179.65	180.67	183.1	186.46	190.25	193.87	196.92	199.33	201.3	202.93	204.51	206.08	207.62	209.72	212.58	216.59	221.71	227.31	232.43	236.43	239.28	241.37	242.91	244.48	246.17	248.1	250.98	255.14	260.98	268.37	276.49	284.18	290.61	295.59	299.37	302.18	304.63	307.39	310.8	315.32	320.96	327.09	332.76	337.33	340.78	343.55	345.93	348.58	352.14	356.9	363.17	370.86	379.22	387.24	394.81	402.16	410.04	418.66	427.86	436.68	444.98	452.94	461.3	470.3	480.47	491.22	502.38	513.98	526.2	538.37	550.59	562.68	574.33	585.35	595.9	606.34	617.1	628.37	640.02	651.83	663.7	675.21	685.42	694.59	702.76	710.71	718.75	726.95	734.37	740.3	744.54	747.29	748.73	749.52	749.87	749.98	750	750	750	750	750
600	600	600	600.01	600.04	600.07	600.07	599.99	599.78	599.31	598.54	596.88	593.83	589.03	582.46	574.92	567.73	561.99	558.05	555.47	553.84	552.5	551.17	549.88	548.61	547.38	546.15	544.1	540.88	535.92	529.25	521.86	515.17	510.18	506.91	504.79	503.53	502.31	501.18	500.16	499.26	498.44	497.67	496.9	495.97	494.81	493.29	491.1	488.01	483.97	479.02	473.55	468.3	464.02	460.87	458.65	457.08	455.77	454.45	453.11	451.75	450.34	448.83	447.2	445.46	443.05	439.78	435.29	429.61	423.39	417.57	412.8	409.13	406.24	404.01	401.98	400.22	398.72	397.44	396.27	395.16	394.05	392.93	391.81	390.69	389.01	386.57	382.97	378.26	373.07	368.35	364.75	362.3	360.62	359.48	358.35	357.21	356.08	354.95	353.82	352.71	351.6	350.52	349.44	348.38	347.32	346.27	345.21	344.15	343.09	342.03	340.97	339.91	338.3	335.92	332.4	327.75	322.63	317.99	314.46	312.08	310.47	309.41	308.34	307.28	306.21	305.13	304.06	302.99	301.93	301.12	300.62	300.56	300.89	301.3	301.41	300.96	300	298.69	297.15	295.62	294.08	292.54	291.01	289.18	286.92	284.05	280.57	276.83	273.37	270.54	268.37	266.66	265.3	263.98	262.71	261.48	260.27	259.08	257.91	256.75	255.6	254.47	253.33	252.19	251.03	249.85	248.66	247.45	246.25	245.06	243.88	242.72	241.56	240.41	239.26	238.12	236.97	235.53	233.66	231.17	228.06	224.69	221.58	219.08	217.21	215.75	214.59	213.43	212.26	211.1	209.93	208.76	207.59	206.42	205.27	204.14	203.03	201.92	200.73	199.34	197.5	195.11	192.11	188.73	185.42	182.75	181.15	180.89	181.89	184.04	186.96	190.29	193.6	196.61	199.24	201.58	203.7	205.75	207.78	209.79	212.1	214.82	218.17	222.13	226.36	230.32	233.66	236.38	238.69	240.69	242.73	244.92	247.41	250.72	255.11	260.81	267.7	275.18	282.48	288.99	294.47	298.99	302.64	305.81	308.97	312.38	316.37	320.98	325.88	330.54	334.62	338.13	341.32	344.42	347.87	352.07	357.22	363.47	370.71	378.48	386.16	393.71	401.24	409.2	417.68	426.6	435.36	443.89	452.24	460.83	469.78	479.47	489.64	500.31	511.52	523.35	535.32	547.38	559.33	570.95	582.14	592.99	603.74	614.65	625.85	637.34	649.01	660.78	672.33	682.99	692.74	701.49	709.64	717.45	725.07	732.04	737.95	742.59	745.93	747.99	749.18	749.75	749.95	750	750	750	750	750
600	600	600	600.03	600.09	600.18	600.23	600.14	599.81	599.05	597.85	595.86	592.77	588.42	582.88	576.64	570.58	565.46	561.55	558.6	556.29	554.26	552.25	550.29	548.38	546.51	544.66	542.26	539.08	534.74	529.27	523.3	517.8	513.4	510.13	507.62	505.67	503.8	502.07	500.52	499.15	497.93	496.78	495.65	494.37	492.86	491.04	488.75	485.9	482.57	478.8	474.78	470.88	467.5	464.74	462.5	460.63	458.93	457.21	455.48	453.7	451.85	449.87	447.73	445.41	442.62	439.28	435.18	430.38	425.24	420.27	415.82	411.94	408.51	405.53	402.83	400.5	398.55	396.88	395.38	393.95	392.52	391.09	389.64	388.19	386.44	384.26	381.45	378.03	374.34	370.91	368.1	365.91	364.14	362.67	361.2	359.72	358.26	356.79	355.34	353.89	352.46	351.05	349.66	348.27	346.9	345.52	344.14	342.76	341.37	339.99	338.6	337.22	335.53	333.43	330.7	327.35	323.75	320.41	317.67	315.57	313.88	312.5	311.11	309.71	308.32	306.91	305.51	304.11	302.72	301.52	300.57	299.95	299.64	299.4	298.97	298.16	296.99	295.58	294.01	292.44	290.86	289.29	287.71	286	284.12	281.96	279.54	277.01	274.61	272.48	270.64	269.02	267.55	266.11	264.71	263.33	261.97	260.62	259.28	257.96	256.64	255.32	254.01	252.67	251.32	249.93	248.51	247.07	245.63	244.2	242.79	241.4	240.02	238.65	237.29	235.93	234.58	233.09	231.43	229.5	227.29	224.98	222.77	220.83	219.15	217.65	216.28	214.9	213.51	212.13	210.74	209.36	207.97	206.59	205.24	203.93	202.65	201.37	199.99	198.39	196.4	193.97	191.15	188.16	185.39	183.24	182.03	181.93	182.89	184.78	187.34	190.29	193.34	196.29	199.06	201.65	204.1	206.48	208.83	211.16	213.61	216.24	219.14	222.31	225.59	228.76	231.66	234.29	236.74	239.07	241.43	243.96	246.83	250.4	254.92	260.51	267.04	274.08	281.11	287.68	293.52	298.54	302.76	306.41	309.81	313.19	316.79	320.67	324.71	328.67	332.42	335.97	339.47	343.08	347.08	351.71	357.09	363.29	370.19	377.51	384.93	392.42	400.06	408.04	416.43	425.13	433.87	442.55	451.17	459.88	468.78	478.08	487.77	497.97	508.77	520.19	531.89	543.72	555.5	567.06	578.34	589.4	600.37	611.39	622.58	633.98	645.58	657.32	668.93	679.96	690.2	699.45	707.83	715.55	722.81	729.51	735.48	740.5	744.39	747.07	748.71	749.55	749.89	749.99	750	750	750	750
600	600	600.01	600.08	600.23	600.43	600.6	600.55	600.12	599.1	597.49	595.18	592.02	588.07	583.39	578.32	573.33	568.84	565.06	561.83	558.98	556.33	553.73	551.18	548.7	546.27	543.87	541.17	538.02	534.22	529.78	525.06	520.58	516.7	513.41	510.53	507.96	505.49	503.19	501.14	499.36	497.79	496.34	494.92	493.38	491.68	489.73	487.5	484.98	482.25	479.37	476.41	473.49	470.8	468.37	466.16	464.1	462.12	460.13	458.11	456.03	453.86	451.56	449.06	446.35	443.3	439.86	435.99	431.72	427.23	422.76	418.45	414.35	410.48	406.91	403.68	400.93	398.64	396.71	394.99	393.36	391.73	390.09	388.43	386.76	384.96	382.97	380.71	378.18	375.53	373	370.72	368.72	366.89	365.19	363.49	361.79	360.1	358.41	356.73	355.06	353.41	351.78	350.17	348.57	346.97	345.36	343.75	342.14	340.52	338.9	337.29	335.68	333.93	332.01	329.82	327.37	324.8	322.35	320.16	318.24	316.49	314.88	313.26	311.64	310.01	308.37	306.73	305.09	303.47	301.97	300.64	299.55	298.66	297.85	296.95	295.86	294.57	293.14	291.63	290.1	288.58	287.05	285.51	283.94	282.31	280.59	278.8	276.98	275.19	273.49	271.88	270.33	268.84	267.37	265.91	264.47	263.04	261.61	260.19	258.78	257.36	255.95	254.53	253.1	251.63	250.11	248.55	246.96	245.36	243.76	242.19	240.63	239.1	237.58	236.07	234.57	233.07	231.54	229.96	228.3	226.55	224.78	223.03	221.36	219.76	218.21	216.69	215.17	213.64	212.11	210.57	209.04	207.52	206.01	204.54	203.13	201.76	200.4	198.92	197.22	195.19	192.81	190.2	187.59	185.27	183.56	182.67	182.69	183.6	185.29	187.57	190.23	193.09	195.97	198.79	201.52	204.14	206.7	209.22	211.72	214.26	216.84	219.51	222.25	225.03	227.78	230.45	233.04	235.58	238.08	240.61	243.31	246.37	250.07	254.63	260.13	266.45	273.25	280.14	286.75	292.78	298.06	302.57	306.43	309.91	313.23	316.57	320.04	323.59	327.16	330.73	334.32	338.01	341.92	346.21	351.06	356.55	362.68	369.35	376.38	383.62	391.04	398.68	406.65	414.95	423.54	432.25	441	449.75	458.52	467.34	476.37	485.71	495.52	505.93	516.93	528.32	539.9	551.48	562.95	574.24	585.39	596.47	607.57	618.78	630.16	641.74	653.47	665.15	676.46	687.06	696.7	705.34	713.11	720.26	726.88	732.95	738.31	742.71	745.96	748.08	749.25	749.78	749.96	750	750	750	750
600	600	600.03	600.18	600.46	600.85	601.21	601.29	600.83	599.64	597.75	595.21	592.03	588.35	584.3	580.04	575.81	571.82	568.16	564.77	561.57	558.5	555.48	552.54	549.68	546.88	544.11	541.19	538.05	534.61	530.86	526.97	523.18	519.63	516.31	513.15	510.13	507.21	504.48	502.06	499.98	498.18	496.54	494.96	493.32	491.55	489.62	487.53	485.31	483.02	480.7	478.35	476	473.7	471.45	469.26	467.1	464.96	462.79	460.6	458.34	456	453.52	450.86	447.96	444.78	441.29	437.5	433.45	429.24	424.94	420.61	416.31	412.1	408.13	404.55	401.5	399	396.93	395.1	393.38	391.66	389.92	388.16	386.39	384.57	382.69	380.73	378.68	376.6	374.55	372.57	370.66	368.81	366.99	365.17	363.36	361.54	359.74	357.94	356.16	354.4	352.65	350.92	349.19	347.47	345.74	343.99	342.24	340.49	338.74	336.99	335.25	333.48	331.65	329.74	327.76	325.74	323.75	321.85	320.01	318.23	316.49	314.74	312.99	311.23	309.46	307.68	305.9	304.14	302.46	300.9	299.51	298.26	297.09	295.91	294.65	293.31	291.9	290.45	288.99	287.52	286.04	284.56	283.07	281.57	280.07	278.57	277.07	275.57	274.07	272.57	271.08	269.59	268.11	266.64	265.18	263.71	262.26	260.8	259.35	257.89	256.44	254.97	253.49	251.96	250.39	248.75	247.07	245.36	243.66	241.97	240.3	238.66	237.03	235.43	233.83	232.24	230.65	229.07	227.48	225.9	224.32	222.73	221.14	219.54	217.93	216.32	214.71	213.08	211.45	209.82	208.19	206.58	205	203.48	202.02	200.62	199.22	197.71	195.99	193.97	191.71	189.32	187.03	185.08	183.7	183.04	183.16	184.03	185.57	187.65	190.13	192.84	195.66	198.48	201.24	203.94	206.57	209.17	211.75	214.33	216.9	219.47	222.05	224.62	227.2	229.78	232.36	234.94	237.52	240.13	242.9	246.02	249.74	254.29	259.74	265.94	272.64	279.47	286.1	292.21	297.58	302.15	306.04	309.48	312.71	315.89	319.13	322.45	325.86	329.35	332.97	336.76	340.81	345.25	350.19	355.7	361.77	368.29	375.15	382.25	389.58	397.18	405.09	413.33	421.84	430.52	439.28	448.07	456.82	465.58	474.43	483.53	493.04	503.1	513.73	524.79	536.09	547.47	558.81	570.05	581.21	592.32	603.44	614.66	626.04	637.62	649.37	661.11	672.58	683.44	693.39	702.29	710.25	717.47	724.17	730.39	736.04	740.87	744.64	747.26	748.82	749.6	749.91	749.99	750	750	750
600	600	600.07	600.33	600.8	601.46	602.1	602.37	601.95	600.7	598.68	596.02	592.85	589.36	585.65	581.84	578.03	574.32	570.74	567.27	563.89	560.6	557.37	554.23	551.18	548.19	545.22	542.19	539.05	535.78	532.38	528.92	525.47	522.08	518.74	515.41	512.13	508.94	505.95	503.28	501	499.05	497.33	495.71	494.07	492.34	490.5	488.56	486.54	484.49	482.42	480.34	478.24	476.12	473.96	471.78	469.57	467.33	465.06	462.76	460.41	457.98	455.44	452.74	449.81	446.62	443.13	439.37	435.37	431.2	426.88	422.46	417.98	413.55	409.33	405.51	402.27	399.62	397.45	395.56	393.81	392.07	390.3	388.52	386.72	384.9	383.08	381.26	379.42	377.58	375.73	373.88	372.02	370.16	368.3	366.43	364.57	362.71	360.85	359.01	357.18	355.37	353.57	351.79	350.01	348.23	346.44	344.63	342.81	340.99	339.17	337.36	335.56	333.76	331.96	330.16	328.37	326.57	324.78	322.98	321.18	319.38	317.57	315.76	313.94	312.12	310.28	308.44	306.59	304.76	302.98	301.28	299.69	298.21	296.81	295.46	294.12	292.78	291.41	290.04	288.65	287.24	285.83	284.41	282.98	281.54	280.1	278.65	277.2	275.74	274.29	272.83	271.37	269.91	268.46	267	265.54	264.08	262.63	261.17	259.71	258.26	256.79	255.32	253.83	252.3	250.7	249.05	247.33	245.57	243.81	242.05	240.31	238.61	236.92	235.24	233.58	231.93	230.29	228.64	227.01	225.37	223.73	222.09	220.44	218.79	217.13	215.47	213.79	212.11	210.41	208.72	207.04	205.38	203.78	202.24	200.79	199.39	197.99	196.48	194.77	192.83	190.69	188.51	186.46	184.78	183.63	183.13	183.31	184.16	185.62	187.6	189.97	192.6	195.35	198.14	200.88	203.57	206.21	208.82	211.41	213.99	216.57	219.15	221.74	224.33	226.91	229.5	232.09	234.68	237.27	239.89	242.66	245.77	249.46	253.97	259.37	265.54	272.23	279.07	285.7	291.79	297.11	301.58	305.34	308.65	311.75	314.83	318	321.27	324.65	328.14	331.78	335.61	339.71	344.18	349.12	354.6	360.61	367.05	373.82	380.84	388.08	395.6	403.43	411.6	420.05	428.68	437.4	446.13	454.84	463.54	472.31	481.28	490.59	500.37	510.67	521.41	532.44	543.61	554.78	565.92	577	588.07	599.17	610.39	621.77	633.36	645.11	656.89	668.45	679.48	689.66	698.86	707.09	714.55	721.42	727.83	733.72	738.89	743.12	746.23	748.23	749.32	749.81	749.97	750	750	750
600	600.01	600.18	600.6	601.35	602.35	603.3	603.77	603.4	602.11	600.03	597.32	594.18	590.77	587.19	583.56	579.95	576.38	572.86	569.39	565.95	562.58	559.27	556.06	552.94	549.88	546.84	543.76	540.62	537.41	534.14	530.85	527.53	524.19	520.83	517.44	514.05	510.73	507.61	504.79	502.37	500.32	498.55	496.93	495.35	493.73	492.05	490.28	488.45	486.54	484.57	482.53	480.44	478.29	476.09	473.87	471.61	469.32	467	464.64	462.25	459.8	457.27	454.62	451.77	448.65	445.21	441.45	437.38	433.1	428.66	424.12	419.52	414.97	410.63	406.68	403.3	400.52	398.26	396.32	394.55	392.83	391.09	389.33	387.55	385.76	383.95	382.14	380.32	378.48	376.65	374.8	372.95	371.09	369.23	367.37	365.51	363.65	361.8	359.95	358.12	356.31	354.51	352.72	350.93	349.14	347.33	345.51	343.67	341.83	340	338.17	336.35	334.54	332.73	330.92	329.12	327.31	325.5	323.69	321.88	320.07	318.25	316.42	314.59	312.75	310.91	309.05	307.19	305.34	303.53	301.81	300.2	298.71	297.32	295.98	294.66	293.33	291.98	290.61	289.23	287.82	286.41	284.98	283.54	282.09	280.63	279.17	277.71	276.24	274.77	273.3	271.83	270.37	268.9	267.43	265.96	264.49	263.03	261.56	260.1	258.63	257.16	255.68	254.18	252.64	251.04	249.37	247.63	245.84	244.03	242.22	240.43	238.66	236.91	235.18	233.46	231.75	230.05	228.35	226.65	224.96	223.27	221.57	219.87	218.17	216.46	214.74	213.01	211.27	209.52	207.77	206.03	204.33	202.7	201.16	199.7	198.3	196.89	195.37	193.69	191.8	189.78	187.76	185.9	184.4	183.41	183.02	183.26	184.12	185.54	187.46	189.77	192.33	195.04	197.79	200.52	203.2	205.84	208.46	211.06	213.65	216.25	218.84	221.44	224.04	226.63	229.23	231.83	234.43	237.03	239.66	242.44	245.54	249.22	253.69	259.06	265.21	271.9	278.74	285.38	291.44	296.66	301	304.59	307.72	310.67	313.63	316.71	319.92	323.26	326.75	330.41	334.28	338.42	342.93	347.89	353.36	359.32	365.69	372.39	379.33	386.5	393.94	401.69	409.79	418.16	426.72	435.36	444.02	452.68	461.34	470.06	478.95	488.12	497.69	507.72	518.17	528.94	539.88	550.88	561.88	572.87	583.86	594.91	606.08	617.43	629	640.74	652.54	664.17	675.34	685.77	695.27	703.82	711.55	718.63	725.2	731.28	736.75	741.38	744.97	747.44	748.91	749.64	749.92	749.99	750	750
600.83	600.6	600.64	601.14	602.14	603.49	604.76	605.38	605.01	603.68	601.55	598.83	595.75	592.42	588.91	585.32	581.72	578.17	574.66	571.19	567.77	564.41	561.11	557.9	554.79	551.73	548.7	545.63	542.49	539.28	536.01	532.7	529.38	526.04	522.69	519.31	515.94	512.63	509.49	506.61	504.1	501.96	500.13	498.51	496.99	495.47	493.89	492.23	490.47	488.6	486.63	484.57	482.42	480.22	477.96	475.67	473.35	471	468.62	466.21	463.77	461.3	458.79	456.18	453.43	450.42	447.08	443.37	439.32	434.99	430.49	425.88	421.22	416.63	412.22	408.17	404.64	401.69	399.27	397.21	395.38	393.64	391.91	390.17	388.41	386.63	384.84	383.04	381.23	379.41	377.58	375.74	373.89	372.04	370.18	368.32	366.46	364.6	362.74	360.89	359.05	357.22	355.41	353.6	351.81	350	348.18	346.34	344.49	342.64	340.79	338.95	337.12	335.3	333.48	331.67	329.85	328.03	326.21	324.39	322.57	320.74	318.91	317.08	315.24	313.39	311.53	309.66	307.79	305.93	304.11	302.37	300.75	299.24	297.85	296.52	295.22	293.9	292.57	291.2	289.82	288.41	286.98	285.54	284.09	282.63	281.16	279.68	278.2	276.72	275.24	273.76	272.28	270.79	269.31	267.83	266.36	264.88	263.4	261.93	260.45	258.98	257.5	256.01	254.5	252.96	251.36	249.68	247.93	246.13	244.29	242.44	240.61	238.79	236.99	235.2	233.43	231.67	229.91	228.16	226.41	224.67	222.93	221.18	219.43	217.68	215.91	214.14	212.36	210.57	208.77	206.96	205.17	203.44	201.78	200.23	198.76	197.35	195.92	194.39	192.72	190.89	188.96	187.04	185.3	183.91	183.02	182.7	183	183.89	185.33	187.24	189.52	192.06	194.73	197.45	200.16	202.84	205.48	208.1	210.71	213.32	215.93	218.54	221.15	223.75	226.36	228.97	231.58	234.19	236.8	239.45	242.24	245.34	249.01	253.46	258.79	264.93	271.62	278.48	285.11	291.13	296.24	300.4	303.78	306.7	309.47	312.27	315.24	318.38	321.68	325.15	328.83	332.73	336.92	341.47	346.45	351.9	357.82	364.14	370.78	377.67	384.79	392.18	399.88	407.9	416.18	424.64	433.19	441.77	450.36	458.98	467.68	476.53	485.61	495.02	504.83	515.03	525.55	536.27	547.09	557.95	568.82	579.71	590.68	601.78	613.08	624.6	636.33	648.13	659.83	671.15	681.82	691.64	700.53	708.56	715.86	722.58	728.81	734.49	739.45	743.49	746.45	748.34	749.36	749.82	749.97	750	750
603.25	602.52	602.14	602.42	603.46	605.01	606.46	607.12	606.7	605.27	603.06	600.31	597.26	593.96	590.48	586.93	583.36	579.83	576.35	572.92	569.52	566.17	562.87	559.66	556.52	553.44	550.4	547.34	544.22	541.04	537.8	534.53	531.23	527.93	524.62	521.3	517.99	514.73	511.61	508.7	506.1	503.84	501.9	500.21	498.67	497.2	495.72	494.16	492.48	490.66	488.68	486.58	484.37	482.09	479.76	477.4	475.01	472.6	470.16	467.7	465.23	462.73	460.22	457.65	454.97	452.06	448.83	445.21	441.21	436.9	432.38	427.76	423.12	418.53	414.11	410	406.32	403.17	400.52	398.28	396.32	394.52	392.78	391.04	389.3	387.54	385.76	383.97	382.17	380.35	378.53	376.7	374.85	373	371.15	369.29	367.42	365.55	363.68	361.82	359.96	358.11	356.27	354.45	352.63	350.8	348.97	347.12	345.26	343.4	341.55	339.7	337.87	336.04	334.21	332.39	330.56	328.74	326.91	325.08	323.25	321.41	319.57	317.72	315.87	314.02	312.15	310.28	308.41	306.54	304.71	302.96	301.32	299.81	298.41	297.08	295.79	294.49	293.16	291.8	290.41	289	287.56	286.1	284.63	283.15	281.66	280.17	278.68	277.18	275.68	274.19	272.69	271.2	269.7	268.21	266.72	265.23	263.75	262.26	260.78	259.29	257.81	256.31	254.8	253.26	251.66	249.98	248.23	246.41	244.56	242.69	240.82	238.96	237.12	235.29	233.47	231.66	229.86	228.06	226.27	224.48	222.69	220.9	219.1	217.3	215.49	213.68	211.85	210.01	208.15	206.29	204.46	202.69	201.01	199.44	197.96	196.52	195.07	193.54	191.88	190.09	188.22	186.36	184.68	183.35	182.5	182.23	182.57	183.52	185.01	186.95	189.24	191.76	194.42	197.11	199.81	202.48	205.12	207.75	210.38	213	215.62	218.24	220.87	223.49	226.11	228.73	231.35	233.96	236.59	239.25	242.04	245.15	248.81	253.24	258.54	264.66	271.35	278.23	284.86	290.83	295.83	299.79	302.93	305.61	308.15	310.77	313.6	316.63	319.86	323.31	326.98	330.91	335.13	339.72	344.71	350.16	356.04	362.33	368.93	375.8	382.92	390.31	397.98	405.94	414.14	422.5	430.93	439.42	447.93	456.51	465.18	473.99	483.01	492.31	501.94	511.93	522.22	532.75	543.41	554.13	564.88	575.66	586.54	597.55	608.79	620.26	631.95	643.76	655.52	666.99	677.91	688.06	697.31	705.65	713.17	720.02	726.34	732.16	737.37	741.79	745.2	747.55	748.94	749.63	749.9	749.98	750
